a_book_number,b_book_name,c_author,d_book_type,e_condition,f_book_link,g_update_info,h_up_time,i_intro
32,绍宋,榴弹怕水,历史,连载,//book.qidian.com/info/1017281778,最新更新 第七十五章 乱战,2020-07-08 01:13,绍者，一曰继；二曰导。公元1127年，北宋灭亡。旋即，皇九子赵构在万众期待中于商丘登基，继承宋统，改元建炎。然而，三个月内，李纲罢相，陈东被杀，岳飞被驱逐出军，宗泽被遗弃东京，河北抗金布置被全面裁撤……经过这么多努力之后，满朝文武终于统一了思想，定下了拥护赵官家南下淮甸转扬州的辉煌抗金路线。不过刚一启程，在亳州明道宫参拜了道祖之后，这位赵官家便一头栽入了闻名天下的九龙井中，起来后就不认得自己心腹是谁了！朕要抗金！可朕的心腹都在何处？！这是一个来自于九百年后灵魂的真诚呐喊，他在无可奈何继承了大宋的名号后，更要将这个朝廷与天下导向一条新路。故称绍宋。
33,神话版三国,坟土荒草,历史,连载,//book.qidian.com/info/3223937,最新更新 第三千五百七十七章 孰轻孰重,2020-07-08 08:05,陈曦看着将一块数百斤巨石撇出去的士卒，无语望苍天，这真的是东汉末年？吕布单枪匹马凿穿万人部队，这怎么看都不科学。赵子龙真心龙魂附体了，一剑断山，这真的是人？典韦单人护着曹操杀出敌营，顺手宰了对面数千步骑，这战斗力爆表了吧！这是不是哪里有些不对啊，陈曦顺手摸了一把鹅毛扇挥了一下，狂风大作，叹了一口气，“这是神话吧，我自己都不正常了。”ps：其实这是一篇正经的种田文……QQ群：95010223（满了）全订验证群：949176942酱油群：397441818（快满了）二群：418928396（快满了）三群：371034966五群：966666635
34,烂柯棋缘,真费事,仙侠,连载,//book.qidian.com/info/1015990091,最新更新 第666章 鬼军征伐,2020-07-08 00:06,烂柯旁棋局落叶，老树间对弈无人兴所致天元一子，再回首山海苍茫……一觉醒来，计缘成了一个破旧山神庙中的半瞎乞丐。真人一柄剑，神棍一张嘴，就是计缘在这个可怕的世界安身立足的根本。————普群号：563767909VIP验证群号：1071336169（需要全订截图）
35,大道纪,裴屠狗,科幻,连载,//book.qidian.com/info/1016861609,最新更新 第579章 败亡夺运经（万更26天求支持）,2020-07-07 23:27,万千宇宙天骄并起，无穷次元霸主同存。武侠世界，有道人铸剑王权，威临天下一甲子，名传后世三千年，无双无对，古今第一，无上大宗师。神鬼世界，百鬼日行，道人驻世不死，一问鬼神，二问苍天，以地伐天，封神天下，万神之宗长。万阳世界，神魔咆哮天地，大妖宰执星河，一世称尊，灿若骄阳，古今亿万载，万阳同天，有道人登临绝巅，人若长河，横压万阳之上。皇天界，蛮荒大界，巫神大界，元阳界，大龙界........战魔尊，斗皇天，平动乱，撼神庭，定蛮荒，试手巫神，对弈天帝......踏过诸天，行罢万界，安奇生蓦然发现，万道万神，已在掌心三寸之间。已有480万字完本精品小说《诸天投影》，人品保证。诸天大道宗普群1031416893。诸天大道宗全订群724433161，欢迎加群。
36,诡秘之主,爱潜水的乌贼,玄幻,完本,//book.qidian.com/info/1010868264,最新更新 一个普通人的日常（八）,2020-05-14 12:31,蒸汽与机械的浪潮中，谁能触及非凡？历史和黑暗的迷雾里，又是谁在耳语？我从诡秘中醒来，睁眼看见这个世界：枪械，大炮，巨舰，飞空艇，差分机；魔药，占卜，诅咒，倒吊人，封印物……光明依旧照耀，神秘从未远离，这是一段“愚者”的传说。
37,沧元图,我吃西红柿,玄幻,连载,//book.qidian.com/info/1015499829,最新更新 第二十集 第二十一章 买齐了,2020-07-08 00:08,我叫孟川，今年十五岁，是东宁府“镜湖道院”的当代大师兄。
38,临渊行,宅猪,玄幻,连载,//book.qidian.com/info/1017125042,最新更新 第四百一十七章 悬棺锁云晞,2020-07-07 20:00,苏云怎么也没有想到，自己生活了十几年的天门镇，只有自己是人。他更没有想到天门镇外，方圆百里，是鼎鼎有名的无人区。少年睁开眼睛时，想象中的世界崩塌了，妖魔鬼怪横行的现实呈现在他的面前。临渊行。黑夜中临深渊而行，须得打起精神，如履薄冰！书友群群号，978862507
39,拯救全球,横扫天涯,玄幻,连载,//book.qidian.com/info/1020943839,最新更新 世界第一国马上臣服，大高潮来临！,2020-07-08 00:02,2034年6月18日，地球被万界之首龙渊界入侵，遭遇毁灭性的打击。2064年，地球最后一位战士杨元，在盗取他们最高深的功法后被杀，重生到2034年6月1日，距离对方入侵还有17天。为了避免惨剧再次发生，避免世界再次沦为地狱，杨元毅然决定，凭借一己之力，拯救全球，拯救全人类！做教官，收徒弟，开武馆，传功天下，看我杨元，如何成为救世主，成为人族的精神象征，带领所有地球人，屹立万界之巅！这是一个凭借一己之力，力挽狂澜，拯救全球的故事。已完本《天道图书馆》、《无尽丹田》、《造化图》、《拳皇异界纵横》、《八神庵》等书，白金作品，质量保证。
40,从1983开始,睡觉会变白,都市,连载,//book.qidian.com/info/1015289802,最新更新 第六百八十八章 今年不拍贺岁片,2020-07-07 17:18,一个有点怀旧的故事。……………………书友群旧群已满，新群：8876-28-702
41,最初进化,卷土,玄幻,连载,//book.qidian.com/info/1017021237,最新更新  第三十七章 开盒子,2020-07-08 00:21,最意外的诡异宿命，最激烈的脑力碰撞，最残酷的生死战斗，最疯狂的奇异幻想，最离奇的事实真相......最初已至，再战十年！
